sample,time_sec,label
539763,2159.052,tongue
541870,2167.48,left_hand
543962,2175.848,tongue
546053,2184.212,left_hand
548096,2192.384,left_hand
550160,2200.64,left_hand
552180,2208.72,left_hand
554152,2216.608,feet
556115,2224.46,feet
558040,2232.16,tongue
560121,2240.484,right_hand
562099,2248.396,feet
564089,2256.356,feet
566208,2264.832,feet
568114,2272.456,tongue
570042,2280.168,feet
572156,2288.624,left_hand
574215,2296.86,feet
576543,2306.172,left_hand
578546,2314.184,tongue
580464,2321.856,right_hand
582416,2329.664,tongue
584424,2337.696,tongue
586535,2346.14,feet
588452,2353.808,tongue
590502,2362.008,tongue
592433,2369.732,feet
594431,2377.724,right_hand
596337,2385.348,tongue
598232,2392.928,feet
600204,2400.816,left_hand
602148,2408.592,right_hand
604115,2416.46,right_hand
606235,2424.94,right_hand
608243,2432.972,feet
610309,2441.236,right_hand
612345,2449.38,tongue
614411,2457.644,feet
616481,2465.924,tongue
618561,2474.244,right_hand
620473,2481.892,feet
622504,2490.016,left_hand
624457,2497.828,tongue
626418,2505.672,left_hand
628522,2514.088,feet
630526,2522.104,tongue
632501,2530.004,left_hand
634527,2538.108,feet
636598,2546.392,left_hand
638705,2554.82,right_hand
640797,2563.188,right_hand
642888,2571.552,left_hand
644931,2579.724,tongue
646995,2587.98,left_hand
649015,2596.06,tongue
650987,2603.948,feet
652950,2611.8,feet
654875,2619.5,left_hand
656956,2627.824,feet
658934,2635.736,right_hand
660924,2643.696,right_hand
663043,2652.172,left_hand
664949,2659.796,feet
666877,2667.508,left_hand
668991,2675.964,right_hand
671050,2684.2,left_hand
