sample,time_sec,duration_sec,event_code,event_label
341996,1367.984,1.252,772,tongue
343522,1374.088,7.5,768,start_trial
344022,1376.088,1.252,770,right_hand
345593,1382.372,7.5,768,start_trial
346093,1384.372,1.252,769,left_hand
347700,1390.8,7.5,768,start_trial
348200,1392.8,1.252,769,left_hand
349792,1399.168,7.5,768,start_trial
350292,1401.168,1.252,772,tongue
351883,1407.532,7.5,768,start_trial
352383,1409.532,1.252,770,right_hand
353926,1415.704,7.5,768,start_trial
354426,1417.704,1.252,769,left_hand
355990,1423.96,7.5,768,start_trial
356490,1425.96,1.252,771,feet
358010,1432.04,7.5,768,start_trial
358510,1434.04,1.252,770,right_hand
359982,1439.928,7.5,768,start_trial
360482,1441.928,1.252,770,right_hand
361945,1447.78,7.5,768,start_trial
362445,1449.78,1.252,771,feet
363870,1455.48,7.5,768,start_trial
364370,1457.48,1.252,769,left_hand
365951,1463.804,7.5,768,start_trial
366451,1465.804,1.252,772,tongue
367929,1471.716,7.5,768,start_trial
368429,1473.716,1.252,771,feet
369919,1479.676,7.5,768,start_trial
370419,1481.676,1.252,771,feet
372038,1488.152,7.5,768,start_trial
372538,1490.152,1.252,771,feet
373944,1495.776,7.5,768,start_trial
374444,1497.776,1.252,771,feet
375872,1503.488,7.5,768,start_trial
376372,1505.488,1.252,769,left_hand
377986,1511.944,7.5,768,start_trial
378486,1513.944,1.252,770,right_hand
380045,1520.18,7.5,768,start_trial
380545,1522.18,1.252,769,left_hand
382023,1528.092,0.004,32766,new_run
382373,1529.492,7.5,768,start_trial
382873,1531.492,1.252,770,right_hand
384376,1537.504,7.5,768,start_trial
384876,1539.504,1.252,769,left_hand
386294,1545.176,7.5,768,start_trial
386794,1547.176,1.252,769,left_hand
388246,1552.984,7.5,768,start_trial
388746,1554.984,1.252,771,feet
390254,1561.016,7.5,768,start_trial
390754,1563.016,1.252,771,feet
392365,1569.46,7.5,768,start_trial
392865,1571.46,1.252,770,right_hand
394282,1577.128,7.5,768,start_trial
394782,1579.128,1.252,771,feet
396332,1585.328,7.5,768,start_trial
396832,1587.328,1.252,772,tongue
398263,1593.052,7.5,768,start_trial
398763,1595.052,1.252,769,left_hand
400261,1601.044,7.5,768,start_trial
400761,1603.044,1.252,772,tongue
402167,1608.668,7.5,768,start_trial
402667,1610.668,1.252,769,left_hand
404062,1616.248,7.5,768,start_trial
404562,1618.248,1.252,769,left_hand
406034,1624.136,7.5,768,start_trial
406534,1626.136,1.252,770,right_hand
407978,1631.912,7.5,768,start_trial
408478,1633.912,1.252,772,tongue
409945,1639.78,7.5,768,start_trial
410445,1641.78,1.252,771,feet
412065,1648.26,7.5,768,start_trial
412565,1650.26,1.252,770,right_hand
414073,1656.292,7.5,768,start_trial
414573,1658.292,1.252,772,tongue
416139,1664.556,7.5,768,start_trial
416639,1666.556,1.252,771,feet
418175,1672.7,7.5,768,start_trial
418675,1674.7,1.252,772,tongue
420241,1680.964,7.5,768,start_trial
420741,1682.964,1.252,771,feet
422311,1689.244,7.5,768,start_trial
422811,1691.244,1.252,772,tongue
424391,1697.564,7.5,768,start_trial
424891,1699.564,1.252,770,right_hand
426303,1705.212,7.5,768,start_trial
426803,1707.212,1.252,770,right_hand
428334,1713.336,7.5,768,start_trial
428834,1715.336,1.252,772,tongue
430287,1721.148,7.5,768,start_trial
430787,1723.148,1.252,769,left_hand
432248,1728.992,7.5,768,start_trial
432748,1730.992,1.252,770,right_hand
434352,1737.408,7.5,768,start_trial
434852,1739.408,1.252,770,right_hand
436356,1745.424,7.5,768,start_trial
436856,1747.424,1.252,770,right_hand
438331,1753.324,7.5,768,start_trial
438831,1755.324,1.252,771,feet
440357,1761.428,7.5,768,start_trial
440857,1763.428,1.252,772,tongue
442428,1769.712,7.5,768,start_trial
442928,1771.712,1.252,769,left_hand
444535,1778.14,7.5,768,start_trial
445035,1780.14,1.252,772,tongue
446627,1786.508,7.5,768,start_trial
447127,1788.508,1.252,769,left_hand
448718,1794.872,7.5,768,start_trial
449218,1796.872,1.252,771,feet
450761,1803.044,7.5,768,start_trial
451261,1805.044,1.252,769,left_hand
452825,1811.3,7.5,768,start_trial
453325,1813.3,1.252,772,tongue
454845,1819.38,7.5,768,start_trial
455345,1821.38,1.252,769,left_hand
456817,1827.268,7.5,768,start_trial
457317,1829.268,1.252,771,feet
458780,1835.12,7.5,768,start_trial
459280,1837.12,1.252,769,left_hand
460705,1842.82,7.5,768,start_trial
461205,1844.82,1.252,770,right_hand
462786,1851.144,7.5,768,start_trial
463286,1853.144,1.252,771,feet
464764,1859.056,7.5,768,start_trial
465264,1861.056,1.252,771,feet
466754,1867.016,7.5,768,start_trial
467254,1869.016,1.252,772,tongue
468873,1875.492,7.5,768,start_trial
469373,1877.492,1.252,769,left_hand
470779,1883.116,7.5,768,start_trial
471279,1885.116,1.252,770,right_hand
472707,1890.828,7.5,768,start_trial
473207,1892.828,1.252,772,tongue
474821,1899.284,7.5,768,start_trial
475321,1901.284,1.252,770,right_hand
476880,1907.52,7.5,768,start_trial
476880,1907.52,7.5,1023,rejected_trial
477380,1909.52,1.252,771,feet
478858,1915.432,0.004,32766,new_run
479208,1916.832,7.5,768,start_trial
479708,1918.832,1.252,771,feet
481211,1924.844,7.5,768,start_trial
481711,1926.844,1.252,769,left_hand
483129,1932.516,7.5,768,start_trial
483629,1934.516,1.252,772,tongue
485081,1940.324,7.5,768,start_trial
485581,1942.324,1.252,770,right_hand
487089,1948.356,7.5,768,start_trial
487589,1950.356,1.252,772,tongue
489200,1956.8,7.5,768,start_trial
489700,1958.8,1.252,769,left_hand
491117,1964.468,7.5,768,start_trial
491617,1966.468,1.252,769,left_hand
493167,1972.668,7.5,768,start_trial
493667,1974.668,1.252,771,feet
495098,1980.392,7.5,768,start_trial
495598,1982.392,1.252,771,feet
497096,1988.384,7.5,768,start_trial
497596,1990.384,1.252,770,right_hand
499002,1996.008,7.5,768,start_trial
499502,1998.008,1.252,772,tongue
500897,2003.588,7.5,768,start_trial
501397,2005.588,1.252,770,right_hand
502869,2011.476,7.5,768,start_trial
503369,2013.476,1.252,770,right_hand
504813,2019.252,7.5,768,start_trial
505313,2021.252,1.252,769,left_hand
506780,2027.12,7.5,768,start_trial
507280,2029.12,1.252,770,right_hand
508900,2035.6,7.5,768,start_trial
509400,2037.6,1.252,772,tongue
510908,2043.632,7.5,768,start_trial
511408,2045.632,1.252,772,tongue
512974,2051.896,7.5,768,start_trial
513474,2053.896,1.252,770,right_hand
515010,2060.04,7.5,768,start_trial
515510,2062.04,1.252,770,right_hand
517076,2068.304,7.5,768,start_trial
517576,2070.304,1.252,770,right_hand
519145,2076.584,7.5,768,start_trial
519645,2078.584,1.252,770,right_hand
521226,2084.904,7.5,768,start_trial
521726,2086.904,1.252,772,tongue
523138,2092.552,7.5,768,start_trial
523138,2092.552,7.5,1023,rejected_trial
523638,2094.552,1.252,772,tongue
525169,2100.676,7.5,768,start_trial
525669,2102.676,1.252,771,feet
527122,2108.488,7.5,768,start_trial
527622,2110.488,1.252,772,tongue
529083,2116.332,7.5,768,start_trial
529583,2118.332,1.252,769,left_hand
531187,2124.748,7.5,768,start_trial
531687,2126.748,1.252,770,right_hand
533191,2132.764,7.5,768,start_trial
533691,2134.764,1.252,771,feet
535166,2140.664,7.5,768,start_trial
535666,2142.664,1.252,770,right_hand
537192,2148.768,7.5,768,start_trial
537692,2150.768,1.252,769,left_hand
539263,2157.052,7.5,768,start_trial
539763,2159.052,1.252,772,tongue
541370,2165.48,7.5,768,start_trial
541870,2167.48,1.252,769,left_hand
543462,2173.848,7.5,768,start_trial
543962,2175.848,1.252,772,tongue
545553,2182.212,7.5,768,start_trial
546053,2184.212,1.252,769,left_hand
547596,2190.384,7.5,768,start_trial
548096,2192.384,1.252,769,left_hand
549660,2198.64,7.5,768,start_trial
550160,2200.64,1.252,769,left_hand
551680,2206.72,7.5,768,start_trial
552180,2208.72,1.252,769,left_hand
553652,2214.608,7.5,768,start_trial
553652,2214.608,7.5,1023,rejected_trial
554152,2216.608,1.252,771,feet
555615,2222.46,7.5,768,start_trial
556115,2224.46,1.252,771,feet
557540,2230.16,7.5,768,start_trial
558040,2232.16,1.252,772,tongue
559621,2238.484,7.5,768,start_trial
560121,2240.484,1.252,770,right_hand
561599,2246.396,7.5,768,start_trial
562099,2248.396,1.252,771,feet
563589,2254.356,7.5,768,start_trial
564089,2256.356,1.252,771,feet
565708,2262.832,7.5,768,start_trial
566208,2264.832,1.252,771,feet
567614,2270.456,7.5,768,start_trial
568114,2272.456,1.252,772,tongue
569542,2278.168,7.5,768,start_trial
570042,2280.168,1.252,771,feet
571656,2286.624,7.5,768,start_trial
572156,2288.624,1.252,769,left_hand
573715,2294.86,7.5,768,start_trial
574215,2296.86,1.252,771,feet
575693,2302.772,0.004,32766,new_run
576043,2304.172,7.5,768,start_trial
576543,2306.172,1.252,769,left_hand
578046,2312.184,7.5,768,start_trial
578546,2314.184,1.252,772,tongue
579964,2319.856,7.5,768,start_trial
580464,2321.856,1.252,770,right_hand
581916,2327.664,7.5,768,start_trial
582416,2329.664,1.252,772,tongue
583924,2335.696,7.5,768,start_trial
584424,2337.696,1.252,772,tongue
586035,2344.14,7.5,768,start_trial
586535,2346.14,1.252,771,feet
587952,2351.808,7.5,768,start_trial
588452,2353.808,1.252,772,tongue
590002,2360.008,7.5,768,start_trial
590502,2362.008,1.252,772,tongue
591933,2367.732,7.5,768,start_trial
592433,2369.732,1.252,771,feet
593931,2375.724,7.5,768,start_trial
594431,2377.724,1.252,770,right_hand
595837,2383.348,7.5,768,start_trial
596337,2385.348,1.252,772,tongue
597732,2390.928,7.5,768,start_trial
598232,2392.928,1.252,771,feet
599704,2398.816,7.5,768,start_trial
600204,2400.816,1.252,769,left_hand
601648,2406.592,7.5,768,start_trial
602148,2408.592,1.252,770,right_hand
603615,2414.46,7.5,768,start_trial
603615,2414.46,7.5,1023,rejected_trial
604115,2416.46,1.252,770,right_hand
605735,2422.94,7.5,768,start_trial
606235,2424.94,1.252,770,right_hand
607743,2430.972,7.5,768,start_trial
608243,2432.972,1.252,771,feet
609809,2439.236,7.5,768,start_trial
610309,2441.236,1.252,770,right_hand
611845,2447.38,7.5,768,start_trial
612345,2449.38,1.252,772,tongue
613911,2455.644,7.5,768,start_trial
614411,2457.644,1.252,771,feet
615981,2463.924,7.5,768,start_trial
616481,2465.924,1.252,772,tongue
618061,2472.244,7.5,768,start_trial
618561,2474.244,1.252,770,right_hand
619973,2479.892,7.5,768,start_trial
620473,2481.892,1.252,771,feet
622004,2488.016,7.5,768,start_trial
622504,2490.016,1.252,769,left_hand
623957,2495.828,7.5,768,start_trial
624457,2497.828,1.252,772,tongue
625918,2503.672,7.5,768,start_trial
626418,2505.672,1.252,769,left_hand
628022,2512.088,7.5,768,start_trial
628522,2514.088,1.252,771,feet
630026,2520.104,7.5,768,start_trial
630526,2522.104,1.252,772,tongue
632001,2528.004,7.5,768,start_trial
632501,2530.004,1.252,769,left_hand
634027,2536.108,7.5,768,start_trial
634527,2538.108,1.252,771,feet
636098,2544.392,7.5,768,start_trial
636598,2546.392,1.252,769,left_hand
638205,2552.82,7.5,768,start_trial
638705,2554.82,1.252,770,right_hand
640297,2561.188,7.5,768,start_trial
640797,2563.188,1.252,770,right_hand
642388,2569.552,7.5,768,start_trial
642888,2571.552,1.252,769,left_hand
644431,2577.724,7.5,768,start_trial
644931,2579.724,1.252,772,tongue
646495,2585.98,7.5,768,start_trial
646995,2587.98,1.252,769,left_hand
648515,2594.06,7.5,768,start_trial
648515,2594.06,7.5,1023,rejected_trial
649015,2596.06,1.252,772,tongue
650487,2601.948,7.5,768,start_trial
650987,2603.948,1.252,771,feet
652450,2609.8,7.5,768,start_trial
652950,2611.8,1.252,771,feet
654375,2617.5,7.5,768,start_trial
654875,2619.5,1.252,769,left_hand
656456,2625.824,7.5,768,start_trial
656956,2627.824,1.252,771,feet
658434,2633.736,7.5,768,start_trial
658934,2635.736,1.252,770,right_hand
660424,2641.696,7.5,768,start_trial
660924,2643.696,1.252,770,right_hand
662543,2650.172,7.5,768,start_trial
663043,2652.172,1.252,769,left_hand
664449,2657.796,7.5,768,start_trial
664949,2659.796,1.252,771,feet
666377,2665.508,7.5,768,start_trial
666877,2667.508,1.252,769,left_hand
668491,2673.964,7.5,768,start_trial
668991,2675.964,1.252,770,right_hand
670550,2682.2,7.5,768,start_trial
670550,2682.2,7.5,1023,rejected_trial
671050,2684.2,1.252,769,left_hand
